"line","token","value","mode"
"7","--color-primary-50","#f0faf4","light"
"8","--color-primary-100","#c8e6d5","light"
"9","--color-primary-200","#a5d6b8","light"
"10","--color-primary-300","#70c19a","light"
"11","--color-primary-400","#45b080","light"
"12","--color-primary-500","#239464","light"
"13","--color-primary-600","#1b6b4a","light"
"14","--color-primary-700","#145239","light"
"15","--color-primary-800","#124431","light"
"16","--color-primary-900","#103829","light"
"17","--color-primary-950","#092017","light"
"18","--color-primary","var(--color-primary-600)","light"
"19","--color-primary-dark","var(--color-primary-700)","light"
"24","--color-accent-50","#fdfcf5","light"
"25","--color-accent-100","#fbf7eb","light"
"26","--color-accent-200","#f5eac8","light"
"27","--color-accent-300","#eedc9a","light"
"28","--color-accent-400","#e8b931","light"
"29","--color-accent-500","#cf9e1c","light"
"30","--color-accent-600","#a77a14","light"
"31","--color-accent-700","#805a0e","light"
"32","--color-accent-800","#60430b","light"
"33","--color-accent-900","#4a3409","light"
"34","--color-accent-950","#2c1e04","light"
"39","--color-neutral-50","#f9fafb","light"
"40","--color-neutral-100","#f3f4f6","light"
"41","--color-neutral-200","#e5e7eb","light"
"42","--color-neutral-300","#d1d5db","light"
"43","--color-neutral-400","#9ca3af","light"
"44","--color-neutral-500","#6b7280","light"
"45","--color-neutral-600","#4b5563","light"
"46","--color-neutral-700","#374151","light"
"47","--color-neutral-800","#1f2937","light"
"48","--color-neutral-900","#111827","light"
"49","--color-neutral-950","#030712","light"
"54","--color-bg-primary","#f3f4f6","light"
"55","--color-bg-secondary","#ffffff","light"
"56","--color-bg-tertiary","#e5e7eb","light"
"57","--color-surface","#ffffff","light"
"58","--color-surface-hover","#f9fafb","light"
"59","--color-surface-overlay","rgba(0, 0, 0, 0.5)","light"
"64","--color-text-primary","#1a1a1a","light"
"65","--color-text-secondary","#666666","light"
"66","--color-text-muted","#999999","light"
"67","--color-text-inverse","#ffffff","light"
"68","--color-text-on-primary","#ffffff","light"
"73","--color-border-default","#e2e2e2","light"
"74","--color-border-light","#f0f0f0","light"
"75","--color-border-strong","#c0c0c0","light"
"76","--color-border-focus","#1b6b4a","light"
"81","--color-background","var(--color-bg-primary)","light"
"82","--color-foreground","var(--color-text-primary)","light"
"83","--color-card","var(--color-surface)","light"
"84","--color-border","var(--color-border-default)","light"
"85","--color-muted","var(--color-neutral-100)","light"
"86","--color-muted-foreground","var(--color-text-muted)","light"
"91","--color-success","#38a169","light"
"92","--color-success-bg","#f0fff4","light"
"93","--color-success-light","#c6f6d5","light"
"94","--color-warning","#dd6b20","light"
"95","--color-warning-bg","#fffaf0","light"
"96","--color-warning-light","#feebc8","light"
"97","--color-error","#e53e3e","light"
"98","--color-error-bg","#fff5f5","light"
"99","--color-error-light","#fed7d7","light"
"100","--color-info","#3182ce","light"
"101","--color-info-bg","#ebf8ff","light"
"102","--color-info-light","#bee3f8","light"
"110","--font-family-display","""Cairo"", system-ui, sans-serif","light"
"115","--font-size-xs","0.75rem","light"
"116","--font-size-sm","0.875rem","light"
"117","--font-size-base","1rem","light"
"118","--font-size-lg","1.125rem","light"
"119","--font-size-xl","1.25rem","light"
"120","--font-size-2xl","1.5rem","light"
"121","--font-size-3xl","1.875rem","light"
"122","--font-size-4xl","2.25rem","light"
"123","--font-size-5xl","3rem","light"
"124","--font-size-6xl","3.75rem","light"
"125","--font-size-7xl","4.5rem","light"
"130","--font-weight-light","300","light"
"131","--font-weight-regular","400","light"
"132","--font-weight-medium","500","light"
"133","--font-weight-semibold","600","light"
"134","--font-weight-bold","700","light"
"135","--font-weight-extrabold","800","light"
"140","--line-height-none","1","light"
"141","--line-height-tight","1.25","light"
"142","--line-height-snug","1.375","light"
"143","--line-height-normal","1.5","light"
"144","--line-height-relaxed","1.625","light"
"145","--line-height-loose","2","light"
"150","--spacing-0","0","light"
"151","--spacing-0.5","0.125rem","light"
"152","--spacing-1","0.25rem","light"
"153","--spacing-1.5","0.375rem","light"
"154","--spacing-1_5","0.375rem","light"
"155","--spacing-2","0.5rem","light"
"156","--spacing-2.5","0.625rem","light"
"157","--spacing-2_5","0.625rem","light"
"158","--spacing-3","0.75rem","light"
"159","--spacing-3.5","0.875rem","light"
"160","--spacing-3_5","0.875rem","light"
"161","--spacing-4","1rem","light"
"162","--spacing-5","1.25rem","light"
"163","--spacing-6","1.5rem","light"
"164","--spacing-7","1.75rem","light"
"165","--spacing-8","2rem","light"
"166","--spacing-9","2.25rem","light"
"167","--spacing-10","2.5rem","light"
"168","--spacing-11","2.75rem","light"
"169","--spacing-12","3rem","light"
"170","--spacing-14","3.5rem","light"
"171","--spacing-16","4rem","light"
"172","--spacing-20","5rem","light"
"173","--spacing-24","6rem","light"
"174","--spacing-28","7rem","light"
"175","--spacing-32","8rem","light"
"180","--radius-none","0","light"
"181","--radius-sm","0","light"
"182","--radius-md","0","light"
"183","--radius-lg","0","light"
"184","--radius-xl","0","light"
"185","--radius-2xl","0","light"
"186","--radius-3xl","0","light"
"187","--radius-full","9999px","light"
"188","--radius-card","0px","light"
"189","--radius-btn","0px","light"
"190","--radius-input","0px","light"
"195","--shadow-xs","0 1px 2px rgba(0, 0, 0, 0.05)","light"
"196","--shadow-sm","0 1px 3px rgba(0, 0, 0, 0.06)","light"
"197","--shadow-md","0 2px 8px rgba(0, 0, 0, 0.08)","light"
"198","--shadow-lg","0 4px 16px rgba(0, 0, 0, 0.12)","light"
"199","--shadow-xl","0 8px 32px rgba(0, 0, 0, 0.16)","light"
"200","--shadow-inner","inset 0 2px 4px rgba(0, 0, 0, 0.06)","light"
"201","--shadow-focus","0 0 0 3px rgba(27, 107, 74, 0.1)","light"
"206","--transition-duration-fast","150ms","light"
"207","--transition-duration-normal","200ms","light"
"208","--transition-duration-base","250ms","light"
"209","--transition-duration-slow","350ms","light"
"210","--transition-timing-function-default","ease","light"
"211","--transition-timing-function-in","ease-in","light"
"212","--transition-timing-function-out","ease-out","light"
"213","--transition-timing-function-in-out","ease-in-out","light"
"218","--z-dropdown","100","light"
"219","--z-sticky","200","light"
"220","--z-fixed","300","light"
"221","--z-modal-backdrop","400","light"
"222","--z-modal","500","light"
"223","--z-popover","600","light"
"224","--z-tooltip","700","light"
"225","--z-toast","800","light"
"230","--container-max-width","1200px","light"
"231","--container-padding","1rem","light"
